Transaction_ID,Customer_ID,Customer_Name,Transaction_Date,Transaction_Time,City,Home_City,Transaction_Type,Merchant_Category,Amount,Payment_Method,Device_Type,Previous_Fraud_History,Fraud_Flag
TXN0000016,CUST001042,Diya Menon,2025-07-18,1900-01-01 14:05:01,Hyderabad,Hyderabad,POS,Grocery,327.26,Credit Card,Mobile,No,Normal
TXN0000017,CUST002836,Saanvi Pillai,2025-07-18,1900-01-01 14:33:42,Hyderabad,Hyderabad,Online,Food & Dining,656.95,Debit Card,Desktop,No,Normal
TXN0000018,CUST000758,Kabir Mishra,2025-07-18,1900-01-01 14:48:00,Bangalore,Bangalore,POS,Grocery,2754.84,UPI ID,Mobile,No,Normal
TXN0000019,CUST000540,Myra Das,2025-07-18,1900-01-01 14:54:52,Hyderabad,Hyderabad,UPI,Utilities,59.45,UPI ID,Mobile,No,Normal
TXN0000020,CUST002611,Ananya Yadav,2025-07-18,1900-01-01 15:28:52,Pune,Pune,Online,Grocery,4446.85,UPI ID,Mobile,No,Normal
TXN0000021,CUST000197,Aadhya Agarwal,2025-07-18,1900-01-01 15:52:04,Pune,Pune,IMPS,Fashion & Apparel,15008.75,UPI ID,Mobile,No,Normal
TXN0000022,CUST000146,Anjali Nair,2025-07-18,1900-01-01 15:53:10,Hyderabad,Hyderabad,IMPS,Food & Dining,5104.32,UPI ID,Mobile,No,Normal
TXN0000023,CUST001602,Manoj Reddy,2025-07-18,1900-01-01 16:04:39,Bangalore,Bangalore,ATM,Utilities,1714.27,Debit Card,Desktop,No,Normal
TXN0000024,CUST000509,Aadhya Kapoor,2025-07-18,1900-01-01 17:43:09,Delhi,Delhi,Online,Fashion & Apparel,259.24,Debit Card,Mobile,No,Normal
TXN0000025,CUST002265,Anika Desai,2025-07-18,1900-01-01 18:43:28,Kolkata,Kolkata,POS,Grocery,1523.72,UPI ID,Mobile,No,Normal
TXN0000026,CUST002016,Sneha Joshi,2025-07-18,1900-01-01 18:44:19,Ahmedabad,Ahmedabad,UPI,Grocery,126.27,Credit Card,Desktop,No,Normal
TXN0000027,CUST002572,Vikram Desai,2025-07-18,1900-01-01 18:53:05,Kolkata,Kolkata,UPI,Food & Dining,124.2,Debit Card,Mobile,No,Normal
TXN0000028,CUST002913,Riya Desai,2025-07-18,1900-01-01 19:25:07,Mumbai,Mumbai,POS,Food & Dining,6895.2,UPI ID,Mobile,No,Normal
TXN0000029,CUST002733,Ishaan Desai,2025-07-18,1900-01-01 20:40:19,Delhi,Delhi,UPI,Food & Dining,122.54,Credit Card,Mobile,No,Normal
TXN0000030,CUST002725,Myra Rao,2025-07-18,1900-01-01 20:52:31,Bangalore,Bangalore,ATM,Fashion & Apparel,2407.73,Credit Card,ATM Machine,No,Normal
TXN0000031,CUST001400,Ramesh Shah,2025-07-18,1900-01-01 22:44:13,Pune,Pune,Online,Fashion & Apparel,620.86,UPI ID,ATM Machine,No,Normal
TXN0000032,CUST000516,Navya Rao,2025-07-19,1900-01-01 10:02:08,Chennai,Chennai,ATM,Grocery,4973.5,Credit Card,Mobile,No,Normal
TXN0000033,CUST001736,Rohan Chatterjee,2025-07-19,1900-01-01 10:38:17,Kolkata,Kolkata,ATM,Utilities,7800.03,Debit Card,Desktop,No,Normal
TXN0000034,CUST000163,Lakshmi Kumar,2025-07-19,1900-01-01 11:11:06,Mumbai,Mumbai,Online,Grocery,39456.18,Net Banking,Mobile,No,Fraud
TXN0000035,CUST000190,Aadhya Singh,2025-07-19,1900-01-01 11:25:42,Bangalore,Bangalore,Online,Utilities,12471.44,Debit Card,POS Terminal,No,Normal
TXN0000036,CUST001794,Anika Menon,2025-07-19,1900-01-01 12:16:15,Delhi,Delhi,POS,Utilities,16263.3,UPI ID,Tablet,No,Normal
TXN0000037,CUST003039,Ananya Rao,2025-07-19,1900-01-01 12:40:54,Delhi,Delhi,IMPS,Utilities,508.78,UPI ID,Mobile,No,Normal
TXN0000038,CUST002513,Meera Patel,2025-07-19,1900-01-01 13:01:30,Chennai,Delhi,ATM,Food & Dining,7735.71,UPI ID,Mobile,No,Normal
TXN0000039,CUST000159,Ramesh Naidu,2025-07-19,1900-01-01 13:10:34,Hyderabad,Hyderabad,ATM,Food & Dining,23747.77,Wallet,Mobile,No,Normal
TXN0000040,CUST000484,Neha Iyer,2025-07-19,1900-01-01 13:21:54,Pune,Pune,Online,Food & Dining,471.01,UPI ID,Mobile,No,Normal
TXN0000041,CUST000208,Aarav Menon,2025-07-19,1900-01-01 13:30:41,Mumbai,Mumbai,POS,Travel,720.3,Net Banking,Desktop,No,Normal
TXN0000042,CUST001508,Priya Malhotra,2025-07-19,1900-01-01 13:41:31,Delhi,Delhi,ATM,Travel,647.56,Debit Card,Tablet,No,Normal
TXN0000043,CUST002184,Reyansh Reddy,2025-07-19,1900-01-01 14:39:09,Delhi,Bangalore,UPI,Fashion & Apparel,202.59,Debit Card,Mobile,No,Normal
TXN0000044,CUST000562,Aryan Singh,2025-07-19,1900-01-01 15:47:56,Kolkata,Kolkata,UPI,Fashion & Apparel,129.79,UPI ID,Mobile,No,Normal
TXN0000045,CUST002692,Aadhya Shah,2025-07-19,1900-01-01 15:55:59,Chennai,Chennai,UPI,Utilities,2145.52,Net Banking,Desktop,No,Normal
TXN0000046,CUST000559,Divya Agarwal,2025-07-19,1900-01-01 16:02:13,Kolkata,Kolkata,Online,Travel,1158.95,Credit Card,Mobile,No,Normal
TXN0000047,CUST000008,Ramesh Banerjee,2025-07-19,1900-01-01 16:06:47,Chennai,Chennai,POS,Food & Dining,1304.49,UPI ID,Mobile,No,Normal
TXN0000048,CUST000013,Sanjay Pillai,2025-07-19,1900-01-01 16:34:58,Pune,Pune,UPI,Entertainment,6813.87,Debit Card,Tablet,No,Normal
TXN0000049,CUST002292,Reyansh Naidu,2025-07-19,1900-01-01 17:19:39,Bangalore,Bangalore,UPI,Food & Dining,117.87,Debit Card,Mobile,No,Normal
TXN0000050,CUST002442,Priya Reddy,2025-07-19,1900-01-01 18:29:16,Hyderabad,Hyderabad,UPI,Food & Dining,13539.69,UPI ID,Mobile,No,Fraud
TXN0000051,CUST002184,Reyansh Reddy,2025-07-19,1900-01-01 20:29:02,Bangalore,Bangalore,UPI,Grocery,1254.44,Debit Card,Mobile,No,Normal
TXN0000052,CUST002895,Sneha Pandey,2025-07-19,1900-01-01 20:52:15,Hyderabad,Hyderabad,Online,Electronics,952.22,Debit Card,POS Terminal,No,Normal
TXN0000053,CUST001357,Geeta Joshi,2025-07-19,1900-01-01 21:14:52,Mumbai,Mumbai,IMPS,Entertainment,7743.05,Credit Card,POS Terminal,No,Normal
TXN0000054,CUST001117,Geeta Reddy,2025-07-19,1900-01-01 21:24:29,Chennai,Chennai,Online,Grocery,1068.96,Credit Card,Mobile,No,Normal
TXN0000055,CUST002279,Reyansh Das,2025-07-19,1900-01-01 21:41:19,Delhi,Delhi,ATM,Electronics,9842.06,UPI ID,Tablet,No,Normal
TXN0000056,CUST000491,Neha Naidu,2025-07-20,1900-01-01 04:50:48,Pune,Pune,Online,Electronics,17504.33,UPI ID,Mobile,No,Fraud
TXN0000057,CUST000379,Deepak Shah,2025-07-20,1900-01-01 05:46:18,Ahmedabad,Ahmedabad,UPI,Electronics,181.39,UPI ID,Mobile,No,Normal
TXN0000058,CUST001455,Sai Mehta,2025-07-20,1900-01-01 07:17:24,Delhi,Delhi,UPI,Food & Dining,273.08,Debit Card,Mobile,No,Normal
TXN0000059,CUST001610,Divya Chopra,2025-07-20,1900-01-01 08:48:49,Bangalore,Bangalore,UPI,Fashion & Apparel,926.51,Credit Card,Mobile,Yes,Normal
TXN0000060,CUST000405,Kiara Pandey,2025-07-20,1900-01-01 08:50:08,Pune,Pune,Online,Food & Dining,3159.0,Credit Card,Mobile,No,Normal
TXN0000061,CUST001830,Diya Kapoor,2025-07-20,1900-01-01 09:17:08,Delhi,Delhi,Online,Electronics,58378.84,UPI ID,Mobile,No,Fraud
TXN0000062,CUST000305,Lakshmi Das,2025-07-20,1900-01-01 09:38:13,Kolkata,Kolkata,Online,Electronics,1129.67,Credit Card,POS Terminal,No,Normal
TXN0000063,CUST002572,Vikram Desai,2025-07-20,1900-01-01 09:41:50,Kolkata,Kolkata,UPI,Grocery,14373.51,Debit Card,Mobile,No,Fraud
TXN0000064,CUST000355,Navya Malhotra,2025-07-20,1900-01-01 09:58:38,Ahmedabad,Ahmedabad,Online,Food & Dining,14568.61,Credit Card,Desktop,No,Normal
TXN0000065,CUST001048,Reyansh Banerjee,2025-07-20,1900-01-01 10:50:51,Chennai,Chennai,UPI,Grocery,10751.68,UPI ID,ATM Machine,No,Normal
TXN0000066,CUST002696,Krishna Reddy,2025-07-20,1900-01-01 12:42:45,Bangalore,Chennai,Online,Food & Dining,51447.19,Credit Card,Mobile,No,Fraud
TXN0000067,CUST000733,Kavita Patel,2025-07-20,1900-01-01 12:45:26,Bangalore,Bangalore,Online,Grocery,44592.21,UPI ID,Mobile,No,Fraud
TXN0000068,CUST002337,Ishaan Yadav,2025-07-20,1900-01-01 13:08:01,Kolkata,Kolkata,UPI,Travel,2296.52,UPI ID,Mobile,No,Normal
TXN0000069,CUST002862,Suresh Joshi,2025-07-20,1900-01-01 13:41:53,Mumbai,Mumbai,UPI,Food & Dining,54.83,Debit Card,Mobile,No,Normal
TXN0000070,CUST002123,Saanvi Nair,2025-07-20,1900-01-01 13:53:09,Mumbai,Mumbai,Online,Utilities,1600.57,UPI ID,Mobile,No,Normal
TXN0000071,CUST000564,Meera Pillai,2025-07-20,1900-01-01 13:54:15,Chennai,Chennai,POS,Electronics,4203.85,UPI ID,Desktop,No,Normal
TXN0000072,CUST002761,Myra Pillai,2025-07-20,1900-01-01 14:06:42,Chennai,Chennai,UPI,Travel,478.28,UPI ID,Mobile,No,Normal
TXN0000073,CUST002483,Geeta Patel,2025-07-20,1900-01-01 14:27:15,Delhi,Delhi,UPI,Fashion & Apparel,1220.72,Credit Card,Mobile,No,Normal
TXN0000074,CUST002154,Deepak Banerjee,2025-07-20,1900-01-01 15:27:07,Pune,Pune,UPI,Entertainment,504.5,Debit Card,Mobile,No,Normal
TXN0000075,CUST002322,Lakshmi Gupta,2025-07-20,1900-01-01 15:56:08,Bangalore,Bangalore,Online,Food & Dining,4080.52,Credit Card,Mobile,No,Normal
TXN0000076,CUST002922,Sneha Sharma,2025-07-20,1900-01-01 16:08:53,Kolkata,Kolkata,ATM,Food & Dining,2373.29,Net Banking,Mobile,No,Normal
TXN0000077,CUST002946,Deepak Chopra,2025-07-20,1900-01-01 16:57:33,Bangalore,Bangalore,NEFT,Entertainment,3350.12,Wallet,Mobile,No,Normal
TXN0000078,CUST000239,Kavita Sharma,2025-07-20,1900-01-01 17:47:33,Delhi,Delhi,POS,Utilities,677.59,Debit Card,Mobile,No,Normal
TXN0000079,CUST001037,Kiara Mehta,2025-07-20,1900-01-01 17:54:21,Hyderabad,Hyderabad,ATM,Travel,540.92,Debit Card,POS Terminal,No,Normal
TXN0000080,CUST001472,Manoj Rao,2025-07-20,1900-01-01 18:41:15,Kolkata,Kolkata,POS,Entertainment,2834.11,Debit Card,Mobile,No,Normal
TXN0000081,CUST002429,Kavita Bhatt,2025-07-20,1900-01-01 18:45:45,Ahmedabad,Ahmedabad,Online,Entertainment,337.68,Credit Card,POS Terminal,No,Normal
TXN0000082,CUST002962,Amit Pandey,2025-07-20,1900-01-01 19:03:26,Bangalore,Bangalore,UPI,Grocery,1148.51,Debit Card,Tablet,No,Normal
TXN0000083,CUST002016,Sneha Joshi,2025-07-20,1900-01-01 19:17:09,Ahmedabad,Ahmedabad,NEFT,Grocery,42754.32,Debit Card,POS Terminal,No,Normal
TXN0000084,CUST002676,Rohan Joshi,2025-07-20,1900-01-01 19:17:28,Mumbai,Mumbai,UPI,Entertainment,2603.95,Credit Card,Mobile,No,Normal
TXN0000085,CUST002715,Vivaan Das,2025-07-20,1900-01-01 20:29:33,Bangalore,Hyderabad,Online,Travel,637.17,Net Banking,Mobile,No,Normal
TXN0000086,CUST000848,Reyansh Menon,2025-07-20,1900-01-01 20:59:39,Mumbai,Mumbai,UPI,Travel,260.7,Debit Card,Mobile,No,Normal
TXN0000087,CUST002675,Ananya Agarwal,2025-07-20,1900-01-01 21:17:00,Delhi,Delhi,UPI,Utilities,174.75,Debit Card,Mobile,Yes,Normal
TXN0000088,CUST000403,Deepak Banerjee,2025-07-20,1900-01-01 21:27:48,Mumbai,Mumbai,UPI,Food & Dining,108.03,UPI ID,Mobile,No,Normal
TXN0000089,CUST002029,Kavita Joshi,2025-07-21,1900-01-01 06:04:22,Ahmedabad,Ahmedabad,UPI,Electronics,4063.49,Debit Card,Tablet,No,Normal
TXN0000090,CUST002604,Suresh Chatterjee,2025-07-21,1900-01-01 06:24:40,Pune,Pune,UPI,Fashion & Apparel,980.09,Debit Card,Mobile,No,Normal
TXN0000091,CUST001361,Rahul Menon,2025-07-21,1900-01-01 08:59:26,Bangalore,Bangalore,Online,Travel,2502.1,Credit Card,POS Terminal,No,Normal
TXN0000092,CUST001547,Ramesh Singh,2025-07-21,1900-01-01 09:24:27,Ahmedabad,Ahmedabad,UPI,Food & Dining,1959.39,UPI ID,Mobile,No,Normal
TXN0000093,CUST002390,Arjun Gupta,2025-07-21,1900-01-01 09:49:25,Pune,Pune,ATM,Entertainment,12998.65,Net Banking,Desktop,No,Normal
TXN0000094,CUST000300,Rahul Pillai,2025-07-21,1900-01-01 10:23:55,Chennai,Chennai,ATM,Entertainment,9739.03,UPI ID,Mobile,No,Normal
TXN0000095,CUST002572,Vikram Desai,2025-07-21,1900-01-01 10:58:48,Kolkata,Kolkata,NEFT,Travel,64552.85,Debit Card,POS Terminal,No,Normal
TXN0000096,CUST002459,Arjun Nair,2025-07-21,1900-01-01 11:38:50,Chennai,Chennai,IMPS,Electronics,561.99,Credit Card,Mobile,No,Normal
TXN0000097,CUST001208,Aadhya Kapoor,2025-07-21,1900-01-01 11:45:09,Bangalore,Bangalore,UPI,Travel,665.03,Debit Card,POS Terminal,No,Normal
TXN0000098,CUST002434,Navya Iyer,2025-07-21,1900-01-01 11:52:10,Bangalore,Bangalore,UPI,Food & Dining,14137.18,Debit Card,Mobile,No,Fraud
TXN0000099,CUST002128,Saanvi Iyer,2025-07-21,1900-01-01 12:35:56,Ahmedabad,Mumbai,POS,Food & Dining,2906.93,Net Banking,Mobile,No,Normal
TXN0000100,CUST000976,Rekha Bhatt,2025-07-21,1900-01-01 13:06:28,Bangalore,Bangalore,POS,Fashion & Apparel,13000.97,Net Banking,Mobile,Yes,Fraud
TXN0000101,CUST000293,Kiara Mishra,2025-07-21,1900-01-01 14:00:51,Ahmedabad,Ahmedabad,UPI,Grocery,397.25,UPI ID,Mobile,No,Normal
TXN0000102,CUST002126,Myra Shah,2025-07-21,1900-01-01 14:11:20,Bangalore,Bangalore,POS,Grocery,432.43,Net Banking,ATM Machine,No,Normal
TXN0000103,CUST001400,Ramesh Shah,2025-07-21,1900-01-01 14:28:37,Pune,Pune,Online,Fashion & Apparel,8756.12,UPI ID,Mobile,No,Fraud
TXN0000104,CUST000181,Kavita Yadav,2025-07-21,1900-01-01 14:43:23,Chennai,Chennai,UPI,Electronics,10620.98,Net Banking,Mobile,No,Fraud
TXN0000105,CUST001744,Diya Tiwari,2025-07-21,1900-01-01 14:48:32,Chennai,Bangalore,Online,Food & Dining,8656.92,Debit Card,POS Terminal,No,Normal
TXN0000106,CUST001938,Rahul Bhatt,2025-07-21,1900-01-01 16:09:51,Delhi,Delhi,POS,Travel,130.14,Debit Card,Mobile,Yes,Normal
TXN0000107,CUST001567,Manoj Gupta,2025-07-21,1900-01-01 16:11:07,Kolkata,Kolkata,UPI,Travel,7794.77,Debit Card,Mobile,No,Normal
TXN0000108,CUST001602,Manoj Reddy,2025-07-21,1900-01-01 17:04:43,Bangalore,Bangalore,UPI,Fashion & Apparel,109.94,UPI ID,Mobile,No,Normal
TXN0000109,CUST002696,Krishna Reddy,2025-07-21,1900-01-01 17:38:12,Chennai,Chennai,POS,Entertainment,2210.91,UPI ID,Mobile,No,Normal
TXN0000110,CUST001191,Krishna Malhotra,2025-07-21,1900-01-01 17:42:40,Mumbai,Mumbai,Online,Fashion & Apparel,5179.54,UPI ID,Tablet,No,Normal
TXN0000111,CUST001518,Arjun Tiwari,2025-07-21,1900-01-01 17:43:24,Hyderabad,Hyderabad,UPI,Travel,7990.58,Credit Card,Mobile,No,Normal
TXN0000112,CUST002463,Diya Gupta,2025-07-21,1900-01-01 18:24:36,Mumbai,Mumbai,ATM,Utilities,8720.9,UPI ID,Mobile,No,Normal
TXN0000113,CUST002946,Deepak Chopra,2025-07-21,1900-01-01 19:48:59,Bangalore,Bangalore,POS,Travel,573.24,Debit Card,Mobile,No,Normal
TXN0000114,CUST003096,Sunita Verma,2025-07-21,1900-01-01 20:10:24,Bangalore,Bangalore,Online,Food & Dining,3950.01,Credit Card,Mobile,No,Normal
TXN0000115,CUST000997,Aryan Pillai,2025-07-21,1900-01-01 20:11:05,Mumbai,Hyderabad,UPI,Entertainment,662.34,Net Banking,ATM Machine,No,Normal
TXN0000116,CUST000735,Manoj Verma,2025-07-21,1900-01-01 21:48:37,Delhi,Delhi,Online,Utilities,889.02,Credit Card,Mobile,No,Normal
TXN0000117,CUST001404,Aryan Iyer,2025-07-22,1900-01-01 01:59:57,Pune,Bangalore,POS,Fashion & Apparel,1384.23,Debit Card,Desktop,No,Normal
TXN0000118,CUST000916,Saanvi Tiwari,2025-07-22,1900-01-01 08:09:34,Hyderabad,Hyderabad,POS,Entertainment,8941.38,Credit Card,Mobile,No,Normal
TXN0000119,CUST000364,Ramesh Gupta,2025-07-22,1900-01-01 10:54:34,Delhi,Delhi,IMPS,Food & Dining,1290.49,Debit Card,Mobile,No,Normal
TXN0000120,CUST002483,Geeta Patel,2025-07-22,1900-01-01 11:24:06,Delhi,Delhi,UPI,Utilities,1272.93,UPI ID,ATM Machine,No,Normal
TXN0000121,CUST001237,Myra Kumar,2025-07-22,1900-01-01 11:39:37,Mumbai,Mumbai,IMPS,Entertainment,85841.53,UPI ID,Mobile,No,Normal
TXN0000122,CUST002096,Myra Mehta,2025-07-22,1900-01-01 12:23:26,Ahmedabad,Ahmedabad,UPI,Travel,434.61,UPI ID,Mobile,No,Normal
TXN0000123,CUST000245,Manoj Bhatt,2025-07-22,1900-01-01 12:39:57,Hyderabad,Hyderabad,Online,Grocery,12886.44,Net Banking,Mobile,No,Fraud
TXN0000124,CUST002808,Pooja Naidu,2025-07-22,1900-01-01 12:51:15,Chennai,Chennai,POS,Grocery,11179.36,Debit Card,Tablet,No,Normal
TXN0000125,CUST000277,Anjali Iyer,2025-07-22,1900-01-01 13:26:38,Mumbai,Mumbai,UPI,Entertainment,290.82,Credit Card,Mobile,No,Normal
TXN0000126,CUST000452,Ishaan Yadav,2025-07-22,1900-01-01 13:56:56,Kolkata,Hyderabad,UPI,Electronics,167.87,Credit Card,Mobile,No,Normal
TXN0000127,CUST001027,Saanvi Tiwari,2025-07-22,1900-01-01 14:38:05,Hyderabad,Hyderabad,UPI,Entertainment,3618.63,Debit Card,Mobile,Yes,Normal
TXN0000128,CUST002675,Ananya Agarwal,2025-07-22,1900-01-01 14:44:47,Delhi,Delhi,POS,Food & Dining,14566.65,Net Banking,Mobile,Yes,Fraud
TXN0000129,CUST002921,Manoj Pandey,2025-07-22,1900-01-01 14:59:02,Ahmedabad,Ahmedabad,POS,Entertainment,115.53,Net Banking,Mobile,No,Normal
TXN0000130,CUST001193,Krishna Yadav,2025-07-22,1900-01-01 15:44:43,Mumbai,Mumbai,UPI,Grocery,150.32,Debit Card,Mobile,No,Normal
TXN0000131,CUST001037,Kiara Mehta,2025-07-22,1900-01-01 16:05:10,Hyderabad,Hyderabad,UPI,Entertainment,1175.1,Credit Card,Desktop,No,Normal
TXN0000132,CUST002892,Sunita Pandey,2025-07-22,1900-01-01 16:25:42,Chennai,Chennai,POS,Fashion & Apparel,841.43,Credit Card,Mobile,No,Normal
TXN0000133,CUST002195,Diya Agarwal,2025-07-22,1900-01-01 17:34:48,Pune,Pune,Online,Travel,1056.6,Net Banking,Mobile,No,Normal
TXN0000134,CUST003092,Reyansh Mishra,2025-07-22,1900-01-01 19:39:23,Mumbai,Mumbai,Online,Fashion & Apparel,475.03,Debit Card,Mobile,No,Normal
TXN0000135,CUST000839,Reyansh Chopra,2025-07-22,1900-01-01 19:58:15,Hyderabad,Hyderabad,POS,Utilities,134.05,UPI ID,Mobile,No,Normal
TXN0000136,CUST002922,Sneha Sharma,2025-07-22,1900-01-01 20:01:46,Kolkata,Kolkata,POS,Utilities,357.69,Credit Card,Mobile,No,Normal
TXN0000137,CUST001645,Krishna Rao,2025-07-22,1900-01-01 20:23:34,Mumbai,Mumbai,Online,Electronics,35782.63,UPI ID,Mobile,No,Fraud
TXN0000138,CUST003045,Aadhya Chatterjee,2025-07-22,1900-01-01 20:56:05,Chennai,Chennai,ATM,Fashion & Apparel,2665.23,Debit Card,Mobile,No,Normal
TXN0000139,CUST002572,Vikram Desai,2025-07-22,1900-01-01 21:35:02,Kolkata,Kolkata,POS,Entertainment,2432.56,UPI ID,POS Terminal,No,Normal
TXN0000140,CUST000063,Meera Desai,2025-07-23,1900-01-01 08:50:38,Delhi,Mumbai,UPI,Grocery,9421.27,Wallet,Mobile,Yes,Fraud
TXN0000141,CUST000656,Riya Mehta,2025-07-23,1900-01-01 11:34:44,Bangalore,Bangalore,IMPS,Grocery,5375.52,Wallet,POS Terminal,No,Normal
TXN0000142,CUST002535,Vivaan Tiwari,2025-07-23,1900-01-01 11:53:53,Mumbai,Mumbai,UPI,Grocery,12626.09,Debit Card,Mobile,No,Fraud
TXN0000143,CUST002595,Anjali Nair,2025-07-23,1900-01-01 12:10:36,Pune,Pune,NEFT,Grocery,222658.26,Net Banking,Mobile,No,Normal
TXN0000144,CUST001520,Aryan Rao,2025-07-23,1900-01-01 12:24:18,Hyderabad,Hyderabad,IMPS,Grocery,23821.62,Credit Card,Mobile,No,Normal
TXN0000145,CUST003069,Sai Naidu,2025-07-23,1900-01-01 13:00:13,Bangalore,Bangalore,POS,Travel,1515.38,Net Banking,Mobile,No,Normal
TXN0000146,CUST002981,Krishna Bhatt,2025-07-23,1900-01-01 13:48:34,Delhi,Delhi,POS,Electronics,8865.65,Debit Card,Mobile,No,Normal
TXN0000147,CUST002792,Ramesh Gupta,2025-07-23,1900-01-01 13:58:33,Hyderabad,Hyderabad,Online,Electronics,57706.66,Wallet,Mobile,No,Fraud
TXN0000148,CUST001224,Manoj Pillai,2025-07-23,1900-01-01 14:23:54,Pune,Mumbai,ATM,Grocery,1821.9,UPI ID,Mobile,No,Normal
TXN0000149,CUST003092,Reyansh Mishra,2025-07-23,1900-01-01 14:30:36,Pune,Mumbai,IMPS,Entertainment,35966.68,UPI ID,Desktop,No,Fraud
TXN0000150,CUST000195,Sunita Reddy,2025-07-23,1900-01-01 14:37:27,Bangalore,Bangalore,UPI,Utilities,97.01,UPI ID,ATM Machine,No,Normal
TXN0000151,CUST001767,Aditya Pandey,2025-07-23,1900-01-01 14:37:35,Delhi,Delhi,NEFT,Fashion & Apparel,2437.54,Debit Card,Mobile,No,Normal
TXN0000152,CUST001618,Pooja Agarwal,2025-07-23,1900-01-01 14:41:36,Hyderabad,Hyderabad,ATM,Electronics,1513.86,Debit Card,POS Terminal,No,Normal
TXN0000153,CUST000605,Aryan Tiwari,2025-07-23,1900-01-01 15:18:00,Mumbai,Mumbai,UPI,Food & Dining,14340.33,UPI ID,ATM Machine,No,Normal
TXN0000154,CUST001239,Riya Rao,2025-07-23,1900-01-01 16:58:16,Hyderabad,Hyderabad,IMPS,Entertainment,3581.05,Debit Card,Desktop,No,Normal
TXN0000155,CUST002514,Kabir Gupta,2025-07-23,1900-01-01 17:16:56,Chennai,Chennai,UPI,Grocery,69.68,UPI ID,Desktop,No,Normal
TXN0000156,CUST002735,Sneha Nair,2025-07-23,1900-01-01 17:24:19,Hyderabad,Hyderabad,ATM,Electronics,21809.34,UPI ID,Desktop,No,Normal
TXN0000157,CUST000637,Geeta Menon,2025-07-23,1900-01-01 17:31:10,Delhi,Delhi,IMPS,Fashion & Apparel,6265.97,Net Banking,Mobile,Yes,Normal
TXN0000158,CUST001619,Saanvi Pandey,2025-07-23,1900-01-01 17:46:16,Hyderabad,Hyderabad,NEFT,Grocery,8054.11,Net Banking,Mobile,No,Normal
TXN0000159,CUST001602,Manoj Reddy,2025-07-23,1900-01-01 17:46:35,Bangalore,Bangalore,Online,Food & Dining,659.94,Credit Card,ATM Machine,No,Normal
TXN0000160,CUST000357,Ramesh Chatterjee,2025-07-23,1900-01-01 17:55:07,Ahmedabad,Ahmedabad,Online,Food & Dining,453.3,Net Banking,Mobile,No,Normal
TXN0000161,CUST001602,Manoj Reddy,2025-07-23,1900-01-01 18:35:41,Bangalore,Bangalore,UPI,Electronics,70.81,Net Banking,ATM Machine,No,Normal
